#################################################################################
#
# This file is used for mapping newbase identifiers to FMI identifiers. Notice
# that this file is created for special purposes. It assumes that each Newbase
# parameter name have exactly same FMI parameter name. This means that we can
# do mappings without any unit conversions.
#
# Add the name of this file into the "grid-files.conf" file so that the programs 
# can find it.
#
# FIELDS:
# 1) FmiParameterId/FmiParameterName
# 2) NewbaseParameterId/NewbaseParameterName
# 3) ConversionFunction
# 4) ReverseConversionFunction
#
#################################################################################

ProbabilityOfPrecLimit4;ProbabilityOfPrecLimit4;;;
ProbabilityOfPrecLimit5;ProbabilityOfPrecLimit5;;;
ProbabilityOfPrecLimit6;ProbabilityOfPrecLimit6;;;
ProbabilityOfPrecLimit7;ProbabilityOfPrecLimit7;;;
ProbabilityOfPrecLimit8;ProbabilityOfPrecLimit8;;;
ProbabilityOfPrecLimit9;ProbabilityOfPrecLimit9;;;
ProbabilityOfWind;ProbabilityOfWind;;;
ProbabilityOfWindLimit1;ProbabilityOfWindLimit1;;;
ProbabilityOfWindLimit2;ProbabilityOfWindLimit2;;;
ProbabilityOfGustLimit1;ProbabilityOfGustLimit1;;;
ProbabilityOfGustLimit2;ProbabilityOfGustLimit2;;;
ProbabilityOfGustLimit3;ProbabilityOfGustLimit3;;;
ProbabilityOfGustLimit4;ProbabilityOfGustLimit4;;;
ProbabilityOfGustLimit5;ProbabilityOfGustLimit5;;;
ProbabilityOfPrecLimit10;ProbabilityOfPrecLimit10;;;
TopoSlope;TopoSlope;;;
TopoAzimuth;TopoAzimuth;;;
TopoRelativeHeight;TopoRelativeHeight;;;
TopoDistanceToSea;TopoDistanceToSea;;;
TopoDirectionToSea;TopoDirectionToSea;;;
TopoDistanceToLand;TopoDistanceToLand;;;
TopoDirectionToLand;TopoDirectionToLand;;;
SensorOrdinal;SensorOrdinal;;;
DeltaTime;DeltaTime;;;
BirchPollenTemperatureSum;BirchPollenTemperatureSum;;;
BirchPollenConcentration;BirchPollenConcentration;;;
BirchPollenAvailable;BirchPollenAvailable;;;
BirchPollenRemainingRatio;BirchPollenRemainingRatio;;;
GrassPollenTemperatureSum;GrassPollenTemperatureSum;;;
GrassPollenConcentration;GrassPollenConcentration;;;
GrassPollenAvailable;GrassPollenAvailable;;;
GrassPollenRemainingRatio;GrassPollenRemainingRatio;;;
AlderPollenTemperatureSum;AlderPollenTemperatureSum;;;
AlderPollenConcentration;AlderPollenConcentration;;;
AlderPollenAvailable;AlderPollenAvailable;;;
AlderPollenRemainingRatio;AlderPollenRemainingRatio;;;
MugwortPollenTemperatureSum;MugwortPollenTemperatureSum;;;
MugwortPollenConcentration;MugwortPollenConcentration;;;
MugwortPollenAvailable;MugwortPollenAvailable;;;
MugwortPollenRemainingRatio;MugwortPollenRemainingRatio;;;
RagweedPollenTemperatureSum;RagweedPollenTemperatureSum;;;
RagweedPollenConcentration;RagweedPollenConcentration;;;
RagweedPollenAvailable;RagweedPollenAvailable;;;
RagweedPollenRemainingRatio;RagweedPollenRemainingRatio;;;
OlivePollenTemperatureSum;OlivePollenTemperatureSum;;;
OlivePollenConcentration;OlivePollenConcentration;;;
OlivePollenAvailable;OlivePollenAvailable;;;
OlivePollenRemainingRatio;OlivePollenRemainingRatio;;;
FrostSum;FrostSum;;;
RoadFrostCover;RoadFrostCover;;;
RoadSnowCover;RoadSnowCover;;;
RoadMaintenanceMeasure;RoadMaintenanceMeasure;;;
TimeToNextMeasure;TimeToNextMeasure;;;
WaterStorage;WaterStorage;;;
TimeToNextSalting;TimeToNextSalting;;;
RoadCondition;RoadCondition;;;
ProbabilityDryRoad;ProbabilityDryRoad;;;
ProbabilityWetRoad;ProbabilityWetRoad;;;
ProbabilityMoistRoad;ProbabilityMoistRoad;;;
ProbabilitySnowyRoad;ProbabilitySnowyRoad;;;
